accurcy,cka,parameters,flops,accuracy_percent,latency_percent,raw_latency
0.77146,0.2890625,100.0,1.0,100.0,100.0,13.029078559999997
0.76606,0.357421875,91.95278654647315,0.9178148176086197,99.30002851735668,98.38885843666301,12.819161660000008
0.7276,0.40234375,83.90557309294631,0.8356296352172395,94.31467606875276,77.33027438281069,10.075422199999956
0.66198,0.50390625,75.85835963941948,0.7534444528258593,85.80872631115028,77.21490843478381,10.060391080000045
0.50986,0.5078125,67.81114618589264,0.671259270434479,66.09027039639125,69.16097342189894,9.01103755999993
0.05526,0.427734375,59.76393273236579,0.5890740880430987,7.163041505716433,58.4658003627827,7.617555059999722
0.0493,0.484375,51.71671927883895,0.5068889056517185,6.3904803878360505,46.345314230722536,6.038367399999697
0.0226,0.384765625,43.66950582531211,0.42470372326033823,2.9295102792108465,42.50215527136888,5.5376391999998305
0.00616,0.333984375,35.62229237178527,0.342518540868958,0.7984859876079121,39.29584104065793,5.119886000000042
0.00246,0.267578125,27.575078918258427,0.2603333584775777,0.3188758976486143,26.53256885420282,3.4569492400001764
0.00124,0.08740234375,19.527865464731583,0.17814817608619749,0.16073419231068364,18.359937496607596,2.3921306799999003
0.001,0.047119140625,11.480652011204743,0.09596299369481723,0.12962434863764807,10.345707056661313,1.3479502999998658
