accurcy,cka,parameters,flops
100.0,0.169921875,100.0,1.0
99.17773561037319,0.328125,91.81233231034926,0.9172453465242578
93.7381404174573,0.373046875,83.62466462069852,0.8344906930485156
89.37381404174573,0.345703125,75.43699693104779,0.7517360395727735
75.64832384566729,0.431640625,67.24932924139704,0.6689813860970314
56.103731815306766,0.515625,59.061661551746305,0.5862267326212892
37.254901960784316,0.51171875,50.87399386209556,0.503472079145547
10.68943706514864,0.47265625,42.68632617244482,0.42071742566980486
3.099304237824162,0.416015625,34.498658482794085,0.33796277219406273
0.5692599620493358,0.271484375,26.31099079314334,0.25520811871832055
0.3162555344718533,0.1748046875,18.123323103492602,0.17245346524257837
0.18975332068311196,0.10791015625,9.935655413841863,0.08969881176683622
